                                              TABLE_NAME                    COLUMN_NAME
127                                     NomCerMaternidad                FechaFin4Semana
128                                     NomCerMaternidad                FechaFin5Semana
129                                     NomCerMaternidad              FechaFinalPeriodo
130                                     NomCerMaternidad            FechaFinContratoAgr
131                                     NomCerMaternidad             FechaInicio5Semana
132                                     NomCerMaternidad          FechaInicioNacimiento
133                                     NomCerMaternidad             FechaInicioPeriodo
134                                     NomCerMaternidad              FechaPresentacion
135                                     NomCerMaternidad              FechaUltimoDiaAgr
136                                     NomCerMaternidad           FechaVacacionesDesde
137                                     NomCerMaternidad           FechaVacacionesHasta
138                                     NomCerMaternidad                 FHastaPermRetr
139                                     NomCerMaternidad                           Fijo
140                                     NomCerMaternidad                FijoDiscontinuo
141                                     NomCerMaternidad             FInicioGuardaLegal
142                                     NomCerMaternidad                  GuardaLegalNo
143                                     NomCerMaternidad                  GuardaLegalSi
144                                     NomCerMaternidad                     IdEmpleado
145                                     NomCerMaternidad             indFijoDiscontinuo
146                                     NomCerMaternidad               IndTiempoParcial
147                                     NomCerMaternidad                IndVacacionesNo
148                                     NomCerMaternidad                IndVacacionesSi
149                                     NomCerMaternidad                  JornadaDiaria
150                                     NomCerMaternidad                        MesAlta
151                                     NomCerMaternidad                    MesCotAnt_1
152                                     NomCerMaternidad                     MesCotTP_1
153                                     NomCerMaternidad                    MesCotTP_10
154                                     NomCerMaternidad                    MesCotTP_11
155                                     NomCerMaternidad                    MesCotTP_12
156                                     NomCerMaternidad                     MesCotTP_2
157                                     NomCerMaternidad                     MesCotTP_3
158                                     NomCerMaternidad                     MesCotTP_4
159                                     NomCerMaternidad                     MesCotTP_5
160                                     NomCerMaternidad                     MesCotTP_6
161                                     NomCerMaternidad                     MesCotTP_7
162                                     NomCerMaternidad                     MesCotTP_8
163                                     NomCerMaternidad                     MesCotTP_9
164                                     NomCerMaternidad                    ModJornadas
165                                     NomCerMaternidad                     ModMensual
166                                     NomCerMaternidad                     MotivoBaja
167                                     NomCerMaternidad                      Municipio
168                                     NomCerMaternidad             NacimientoAnterior
169                                     NomCerMaternidad            NombreRepresentante
170                                     NomCerMaternidad                 NumDiasMesAlta
171                                     NomCerMaternidad                        Numero1
172                                     NomCerMaternidad                        Numero2
173                                     NomCerMaternidad                      NumeroSoe
174                                     NomCerMaternidad               NumJornadasTotal
175                                     NomCerMaternidad                  OtraNormaEBEP
176                                     NomCerMaternidad                     PermRetrNo
177                                     NomCerMaternidad                     PermRetrSi
178                                     NomCerMaternidad                           Piso
179                                     NomCerMaternidad                      Provincia
180                                     NomCerMaternidad             ProvinciaNumeroSoe
181                                     NomCerMaternidad                         Puerta
182                                     NomCerMaternidad                    RegimenCDES
183                                     NomCerMaternidad                RegimenSSCodigo
184                                     NomCerMaternidad                RegistroEnviado
185                                     NomCerMaternidad                      TarifaNom
186                                     NomCerMaternidad                   TarifaNomMat
187                                     NomCerMaternidad                   TarifaNomPat
188                                     NomCerMaternidad                       Telefono
189                                     NomCerMaternidad                TipoCertificado
190                                     NomCerMaternidad                VacacionesDesde
191                                     NomCerMaternidad                VacacionesHasta
192                                     NomCerMaternidad                   VacacionesNo
193                                     NomCerMaternidad                   VacacionesSi
194                                     NomCerMaternidad                     ViaPublica
195        TMP_EI_TmpIME_AEL_RetFlexible_20250403_173507            RazonSocialEmpleado
196                               TmpIME_MovimientosCaja                    RazonSocial
197                               CabeceraAlbaranCliente                    RazonSocial
198                               CabeceraAlbaranCliente                   RazonSocial2
199                               CabeceraAlbaranCliente             RazonSocial2Envios
200                               CabeceraAlbaranCliente              RazonSocialEnvios
201                             Vis_AEM_LlamadasClientes                    RazonSocial
202                                       RHH_Formadores                  CodigoPersona
203                                       RHH_Formadores               DisposicionViaje
204                                       RHH_Formadores                  NotasFormador
205                                       RHH_Formadores                   TipoFormador
206                               NOM_Reformateo190_2023                         ClaveA
207                               NOM_Reformateo190_2023                         ClaveB
208                               NOM_Reformateo190_2023                         ClaveE
209                               NOM_Reformateo190_2023                         ClaveG
210                               NOM_Reformateo190_2023                         ClaveI
211                               NOM_Reformateo190_2023                         ClaveK
212                               NOM_Reformateo190_2023                         ClaveL
213                               NOM_Reformateo190_2023                  CodigoEmpresa
214                               NOM_Reformateo190_2023               CodigoTerritorio
215                               NOM_Reformateo190_2023                      Ejercicio
216                               NOM_Reformateo190_2023          ExcluirProcesoEmpresa
217                               NOM_Reformateo190_2023                     sysVersion
218                                  Vis_AEM_Oportunidad                    RazonSocial
219                        TemporalRespErrEmplCer2Desemp                    CodigoError
220                                  TemporalNomIncExcel            RazonSocialEmpleado
221                            PedidosAlbaranesProveedor                    RazonSocial
222                                      lsysPlataformas             sysCollectionPanel
223                                      lsysPlataformas                        sysTipo
224                                             Lecturas                    RazonSocial
225                      CabeceraAlbaranCliente_15_02_24                    RazonSocial
226                      CabeceraAlbaranCliente_15_02_24                   RazonSocial2
227                      CabeceraAlbaranCliente_15_02_24             RazonSocial2Envios
228                      CabeceraAlbaranCliente_15_02_24              RazonSocialEnvios
229                                   Vis_Co_HR_Nom154a5            RazonSocialEmpleado
230                                  Vis_EST_InfCPpend_C                    RazonSocial
231                               IOF_IncidenciasModelos                IOFCodErrorAEAT
232                               IOF_IncidenciasModelos            RazonSocialEmpleado
233                               RHH_AccionesFormativas                  AsistentesFor
234                               RHH_AccionesFormativas                CodigoAccionFor
235                               RHH_AccionesFormativas                  CodigoEmpresa
236                               RHH_AccionesFormativas                  CodigoEscuela
237                               RHH_AccionesFormativas                  CodigoPersona
238                               RHH_AccionesFormativas      CodigoTipoAccionFormativa
239                               RHH_AccionesFormativas                   CosteRealFor
240                               RHH_AccionesFormativas                CumAportPrivada
241                               RHH_AccionesFormativas                DescripcionForC
242                               RHH_AccionesFormativas                DescripcionForL
243                               RHH_AccionesFormativas                DiasImparticion
244                               RHH_AccionesFormativas                    DuracionFor
245                               RHH_AccionesFormativas                    FechaFinFor
246                               RHH_AccionesFormativas                    FechaIniFor
247                               RHH_AccionesFormativas               GuidAccionesForm
248                               RHH_AccionesFormativas                    HorarioMFin
249                               RHH_AccionesFormativas                    HorarioMIni
250                               RHH_AccionesFormativas                    HorarioTFin
251                               RHH_AccionesFormativas                    HorarioTIni
252                               RHH_AccionesFormativas                   IdAccionFTri
253                               RHH_AccionesFormativas                    IdGrupoFTri
254                               RHH_AccionesFormativas                       LugarFor
255                               RHH_AccionesFormativas                   MediosCentro
256                               RHH_AccionesFormativas             MediosOrganizadora
257                               RHH_AccionesFormativas                  MediosPropios
258                               RHH_AccionesFormativas                      NotasRRHH
259                               RHH_AccionesFormativas                      OrigenFor
260                               RHH_AccionesFormativas                 PresupuestoFor
261                               RHH_AccionesFormativas                   PrioridadFor
262                               RHH_AccionesFormativas                SituacionAccion
263                               RHH_AccionesFormativas                  TipoFormacion
264                               RHH_AccionesFormativas                TodosLosCentros
265                               RHH_FormadoresElemEcon                 CodigoElemEcon
266                               RHH_FormadoresElemEcon                  CodigoEmpresa
267                               RHH_FormadoresElemEcon                  CodigoPersona
268                               RHH_FormadoresElemEcon                          Coste
269                               RHH_FormadoresElemEcon            DescripcionElemEcon
270                               RHH_FormadoresElemEcon                          Fecha
271                             VistaPedidosConAlbaranes                    RazonSocial
272                                TemporalNOMLimParteA2            RazonSocialEmpleado
273                                EstructuraFormatosXML               CodigoFormatoXML
274                                EstructuraFormatosXML                 DescripcionXML
275                                EstructuraFormatosXML              MascaraFormatoXML
276                          Vis_LcVw_LlamadasDeClientes                    RazonSocial
277                           TraspasoNominaCodEmpleados              HuboErroresImport
278                           TraspasoNominaCodEmpleados            RazonSocialEmpleado
279                      RelacionClientesProveedoresL100                    RazonSocial
280                              CarteraComisiones_CoRep                    RazonSocial
281                               VIS_RazonSocialEfectos                    RazonSocial
282                             Vis_AEM_Rat_CapPermanent                          Canal
283                             Vis_AEM_Rat_CapPermanent                    CodigoCanal
284                             Vis_AEM_Rat_CapPermanent                  CodigoEmpresa
285                             Vis_AEM_Rat_CapPermanent                     Delegacion
286                             Vis_AEM_Rat_CapPermanent                      Ejercicio
287                             Vis_AEM_Rat_CapPermanent                   IdDelegacion
288                             Vis_AEM_Rat_CapPermanent                  NumeroPeriodo
289                             Vis_AEM_Rat_CapPermanent                  SaldoContable
290                             Vis_AEM_Rat_CapPermanent                   SaldoPeriodo
291                             Vis_AEM_Rat_CapPermanent                   TextoPeriodo
292                                    INR_TmpAlquileres            RazonSocialEmpleado
293                                     TES_Presupuestos                    RazonSocial
294                                   ResumenCliente_Bak                    RazonSocial
295                                   ResumenCliente_Bak                   RazonSocial2
296                              PORTAL_EnvNecFormativas                  CodigoEmpresa
297                              PORTAL_EnvNecFormativas                   PE_ComenMemo
298                              PORTAL_EnvNecFormativas                  PE_Comentario
299                              PORTAL_EnvNecFormativas                  PE_FechaEnvio
300                              PORTAL_EnvNecFormativas                    PE_IdEnvio2
301                              PORTAL_EnvNecFormativas                   PrioridadFor
302                          VIS_PORTALCLIENTE_Empleados                    RazonSocial
303                          VIS_PORTALCLIENTE_Empleados                   RazonSocial2
304                          TemporalNomEmplDiaCompensar            RazonSocialEmpleado
305                        LcVw_CargaTotalPorcentajesPSV                    RazonSocial
306                        VIS_NOM_AEM_listadoctrlavisos                    RazonSocial
307                        VIS_NOM_AEM_listadoctrlavisos            RazonSocialEmpleado
308                                             Cadenas_                    RazonSocial
309                                             Cadenas_                   RazonSocial2
310                                 TemporalNomLimCostes            RazonSocialEmpleado
311                                   IOF_720TmpDesglose                   RazonSocial2
312                              Ges_TmpLisConfigEmpresa                RazonSocialPlan
313                                         INR_Conyuges            RazonSocialEmpleado
314                              CabeceraPedidoProveedor               _AEL_txtErrorAPI
315                              CabeceraPedidoProveedor                    RazonSocial
316                              CabeceraPedidoProveedor                   RazonSocial2
317                                  BienesInversion_Cab                    RazonSocial
