codcliente,cliente,sismecanic,,,,,,,,,,,,,conectores,,,,
,,Total,ene,feb,mar,abr,may,jun,jul,ago,sep,oct,nov,dic,0,ene,feb,mar,abr
25825,"CYME,S.L.",120000,10701.78791384907,12798.333460134238,11326.618901825717,8579.47798422606,12442.286172644115,10196.439714305356,10151.265465271525,6893.652655533596,10218.462281466896,8898.967069564222,9086.18270305286,8874.667123881074,750000,66886.17446155669,79989.58412583898,70791.36813641073,53621.737401412865
2081,"LOGISTICA Y TELECOMUNICACION, S.L.",400000,35672.6263794969,42661.11153378079,37755.39633941906,28598.259947420196,41474.28724214705,33988.13238101786,33837.55155090508,22978.842185111986,34061.54093822299,29663.22356521407,30287.275676842866,29582.223746270247,2000,178.3631318974845,213.30555766890396,188.7769816970953,142.99129973710097
31403,"ELECTRONICA FALCON, S.A.U.",45000,4013.170467693401,4799.375047550339,4247.4820881846435,3217.304244084772,4665.857314741544,3823.6648928645086,3806.7245494768217,2585.1197458250986,3831.9233555500864,3337.112651086583,3407.318513644823,3328.000171455403,400000,35672.6263794969,42661.11153378079,37755.39633941906,28598.259947420196
