                                             TABLE_NAME            COLUMN_NAME
119                     CabeceraAlbaranCliente_05_03_25           RazonSocial2
120                     CabeceraAlbaranCliente_05_03_25     RazonSocial2Envios
121                                   LecturasProveedor            RazonSocial
122                              Tmp_Imp_GestionErrores            CodigoError
123                Vis_LcVw_CabeceraPedidoProveedor_CID            RazonSocial
124                Vis_LcVw_CabeceraPedidoProveedor_CID           RazonSocial2
125                                        FIEEntidades            RazonSocial
126                 LcVw_PartesTecnicoAbiertosRetenidos            RazonSocial
127                 LcVw_PartesTecnicoAbiertosRetenidos           RazonSocial2
128                          Vis_Exp_InformeExpedientes            RazonSocial
129                          Vis_Exp_InformeExpedientes               Unidades
130                          Vis_Exp_InformeExpedientes           RazonSocial2
131                                      EstadisTrabTot               Unidades
132              Vis_LcVw_AccionesComercialesPorCliente            RazonSocial
133                            PowerBi_VentasAnaliticas            RazonSocial
134                            PowerBi_VentasAnaliticas               Unidades
135                 CEN_PowerBI_LineasAlbaranFacturados            RazonSocial
136                                   LotesPresupuestos               Unidades
137                               IOF_03xRepresentantes    RazonSocialEmpleado
138  CEN_PowerBI_LineasAlbaranesFacturadosSinDuplicados            RazonSocial
139                                        pwb_Pedidoes               Cantidad
140                        VIS_RHN_AEM_DetallePersEntre    RazonSocialEmpleado
141            CEN_PowerBI_LineasAlbaranVentaFacturados            RazonSocial
142                                   TmpIME_Domicilios            RazonSocial
143                                   TmpIME_Domicilios           RazonSocial2
144                                     Clientes_111224            RazonSocial
145                                     Clientes_111224           RazonSocial2
146                             Vis_RHH_DatosCandidatos    RazonSocialEmpleado
147                                     MovimientoStock               Unidades
148                          Vis_Co_RegistroSalarialEmp    RazonSocialEmpleado
149                               LcVw_ListadoProyectos            RazonSocial
150                               LcVw_ListadoProyectos           RazonSocial2
151                               CabeceraCertificacion               Unidades
152                       TemporalRespErrEmpresaCertif2            CodigoError
153                                  EXP_TmpRendimiento               Unidades
154                                  EXP_TmpRendimiento            RazonSocial
155                                 VIS_CEN_LinAlbFacSD            RazonSocial
156                      LcVw_ListadoProyectosRevisados            RazonSocial
157                      LcVw_ListadoProyectosRevisados           RazonSocial2
158                   Vis_LcVw_OperacionesNuevasOfertas            RazonSocial
159                           TemporalNOMMntoRetenidoSS    RazonSocialEmpleado
160                                    LcProyectosCola_            RazonSocial
161                                    LcProyectosCola_           RazonSocial2
162                          Vis_Co_RegSalarialEmpCptos    RazonSocialEmpleado
163                    LcVw_ProyectosRiesgosIncidencias            RazonSocial
164                                        FormulaLote_               Unidades
165                                   LineasPresupuesto               Unidades
166                 LcVw_ProyectosRiesgosIncidenciasRev            RazonSocial
167                         PlanLineasContratoProveedor               Unidades
168                       Vis_Co_tmp_RegSalarialsexoEmp    RazonSocialEmpleado
169                       LcVw_RecursosPorProyectoTarea            RazonSocial
170                      Vis_S100_AcumuladosTerceCanDel            RazonSocial
171                                  ClienteProvisiones            RazonSocial
172                         CabeceraPedidoProveedor_Bak            RazonSocial
173                         CabeceraPedidoProveedor_Bak           RazonSocial2
174                         CabeceraPedidoProveedor_Bak       _AEL_txtErrorAPI
175                            DesgloseLotePresupuestos               Unidades
176                                    eFacturasCompras            RazonSocial
177                          VIS_AEAT3_ResumenClienteII            RazonSocial
178                           TmpIME_ImportConciertoCat    RazonSocialEmpleado
179                                 TemporalNOMDPCabAux    RazonSocialEmpleado
180                        Vis_Co_tmp_RegSalsexoEmpCpto    RazonSocialEmpleado
181                         Vis_S100_AcumuladosTerceros            RAZONSOCIAL
182                                    PedidoClienteXml            RazonSocial
183                                    PedidoClienteXml           RazonSocial2
184                                    PedidoClienteXml    ErrorImportacionXML
185                                  TemporalNomDPExcel    RazonSocialEmpleado
186                                   RespuestasFaultVF            TipoErrorVF
187                            Vis_CTFGraphDistribucion               Unidades
188                                       RotacionAnual               Unidades
189                                TmpLineasPresupuesto               Unidades
190                        IOF_SocOperacionesVinculadas    RazonSocialEmpleado
191                        IOF_SocOperacionesVinculadas            RazonSocial
192                                TraspasoNominaErrTab            CodErrorNom
193                           Tmp_Imp_DatosEstadisticos         RazonSocialImp
194                                 LineasCertificacion               Unidades
195                                   SociedadDominante    RazonSocialEmpleado
196                         VIS_NOM_AEM_ContadorEmplRec            RazonSocial
197                                    lsysTraceLWG2ERP        sysRecordsError
198                           DatosFacturaDestinatarios            RazonSocial
199                                       StockInternet               Unidades
200                             VIS_NOM_AEM_TrabFijTemp    RazonSocialEmpleado
201                                    ResumenProveedor            RazonSocial
202                                    ResumenProveedor           RazonSocial2
203                                         TmpPayments            RazonSocial
204                    HistoricoLineasContratoProveedor               Unidades
205                                   Vis_S100_Terceros            Razonsocial
206                                VIS_IOF_InfRentas184    RazonSocialEmpleado
207                              TmpIME_MovimientoStock               Unidades
208              Vis_LineasPedidoCliente_GestionPedidos               Unidades
209                         HistoricoEmpleadoCertifica2       DescripcionError
210                       Vis_S100_PrevisionCobrosPagos            RazonSocial
211                                          EmpresasVF            RazonSocial
212                          TempNomResumenCostesTramos    RazonSocialEmpleado
213                           TemporalNOMIncTraRelacion    RazonSocialEmpleado
214                                EST_TmpLisCtasCliPro            RazonSocial
215                                        pwb_Entradas               Cantidad
216                                  CabeceraExpediente            RazonSocial
217                                  CabeceraExpediente           RazonSocial2
218                           IOF_TmpListaLiquidaciones    RazonSocialEmpleado
219                                ResumenProveedor_Bak            RazonSocial
220                                ResumenProveedor_Bak           RazonSocial2
221                          LineasAlbaranProveedor_Bak               Unidades
222                               ActividadImputaciones               Unidades
223                            CabeceraAlbaranProveedor            RazonSocial
224                            CabeceraAlbaranProveedor           RazonSocial2
225                              Vis_S100_LineasDetalle               UNIDADES
226                       CabeceraAlbaranCliente_260924            RazonSocial
227                       CabeceraAlbaranCliente_260924      RazonSocialEnvios
228                       CabeceraAlbaranCliente_260924           RazonSocial2
229                       CabeceraAlbaranCliente_260924     RazonSocial2Envios
230                                             Gastos_               Unidades
231                               DatosFacturaFacSimpli               Unidades
232                                     Vis_S100_Lineas               unidades
233                            IOF_SocTmpOperVinculadas    RazonSocialEmpleado
234                            IOF_SocTmpOperVinculadas            RazonSocial
235                            EntregasMaterialAlquiler               Unidades
236                                    RegistrosEventos            RazonSocial
237                        DevolucionesMaterialAlquiler               Unidades
238                                    ExpedienteTareas            RazonSocial
239                        CabeceraPedidoCliente_091025            RazonSocial
240                        CabeceraPedidoCliente_091025           RazonSocial2
241                 LcVw_EfectosImpagadosCliente_AccAdm            RazonSocial
242                      EntradaHorasExpedienteDetalles               Unidades
243                         Vis_DesvioPrecioMedioCompra               unidades
244                                LineasAlbaranCliente               Unidades
245                          pwb_EmpleadoNominaConcepto               Cantidad
246                          EST_tmpOpIntracomunitarias        RazonSocialDest
247                          EST_tmpOpIntracomunitarias         RazonSocialRem
248                           LineasPresupuestoUnidades               Unidades
249                         UnidadesDeVentaConectronica               unidades
250                         UnidadesDeVentaConectronica            RazonSocial
251                  LcVw_EfectosVencidosCliente_AccAdm            RazonSocial
252                                   pwb_FacturaVentas               Cantidad
253                           CabeceraContratoProveedor            RazonSocial
254                           CabeceraContratoProveedor           RazonSocial2
255                                  IOF_TmpDesg340_Cab    RazonSocialEmpleado
256                              NomCenInfDatosContacto    RazonSocialEmpleado
257                               PrevisionCobrosYPagos            RazonSocial
258                                      INR_Alquileres    RazonSocialEmpleado
259                                    EmisoresFacturas            RazonSocial
260                                    Nom_TipoReg1_345            RazonSocial
261                                     ENG_TmpContajes               Unidades
262                         LineasCertificacionUnidades               Unidades
263                                       FIEMediciones               Unidades
264                             PedidosPendientesCompra            RazonSocial
265                                    _AEL_TrackingDHL       _AEL_txtErrorAPI
266                                        RHH_Escuelas            RazonSocial
267                                       TemporalNomDP    RazonSocialEmpleado
268                               PCL_ExpedientesSelecc            RazonSocial
269                       LcVw_ImputacionesHorasTecnico            RazonSocial
270                       LcVw_ImputacionesHorasTecnico           RazonSocial2
271                               CabeceraOfertaCliente            RazonSocial
272                               CabeceraOfertaCliente           RazonSocial2
273                            TmpIME_CabeceraDocumento            RazonSocial
274                            TmpIME_CabeceraDocumento      RazonSocialEnvios
275                            TmpIME_CabeceraDocumento           RazonSocial2
276                            TmpIME_CabeceraDocumento     RazonSocial2Envios
277                          TmpIME_ClientesProveedores            RazonSocial
278                          TmpIME_ClientesProveedores           RazonSocial2
279                    LcVw_ListadoImputacionesTecnicos            RazonSocial
