CodigoArticulo;StockActual;CodigoAlmacen;PrecioMedio;FechaUltimaEntrada;FechaUltimaSalida
T035TV-4RT-RHB;1.0000000000;001;303.8973000000;;
T035TV-RHB;3.0000000000;001;349.2412000000;;
T057TV2-4RT;1.0000000000;001;247.0710000000;;
T15-3015K;1.0000000000;001;214.2000000000;;
T15-4015/ADB;1.0000000000;001;42.0000000000;;
T15-4015-ADB2;8.0000000000;001;34.4685000000;;
T15-4015-PM;1.0000000000;001;374.0873000000;;
T17-RXT01;6.0000000000;001;57.8843000000;;
TAKA;210.0000000000;001;10.9450952381;;
TC-16;2705.0000000000;001;0.0861000000;;
TE-INA-RF+TB;1.0000000000;001;29.8900000000;;
TE-MEM-RK-3U;1.0000000000;001;256.0000000000;;
TEMP-NE555DR;20.0000000000;001;0.1680000000;;
TEMP-NE555P;47.0000000000;001;0.1910000000;;
TE-RA-PS2;7.0000000000;001;9.8187000000;;
TE-RA-PS2/I;3.0000000000;001;9.4000000000;;
TE-RA-USB;3.0000000000;001;5.1725000000;;2025-08-19 00:00:00
TE-RE-USB-ST;1.0000000000;001;11.7600000000;;
TEST-129 (W);7.0000000000;001;0.1012000000;;
TEST-55(B);70.0000000000;001;0.0594000000;;
TEST-87(B);1190.0000000000;001;0.1146000000;;
TF-039I;10.0000000000;001;0.0330000000;;
TF-222;5.0000000000;001;0.0291000000;;
TF-589IV0;6.0000000000;001;0.0458000000;;
TGG.1B.314.CLAD52;5.0000000000;001;10.3300000000;2025-04-02 00:00:00;
TGG.2B.314.CLAD92;5.0000000000;001;14.8840000000;2025-04-02 00:00:00;
TGM-40G(B);1000.0000000000;001;0.0826000000;;
TG-PCI-16;1.0000000000;001;58.0000000000;;
TG-TV-AVER;1.0000000000;001;23.7800000000;;
TH-3;2595.0000000000;001;0.0293000000;;
TH-7;1400.0000000000;001;0.0387000000;;
THA200F2F;1.0000000000;001;3.0900000000;;
THB400D1A;8.0000000000;001;10.1300000000;;
THB402C1F;4.0000000000;001;9.5800000000;;
THMA-1;500.0000000000;001;0.0495000000;;
TJ-GV-250-4;1.0000000000;001;105.0000000000;;
TJ-GV-600-4;1.0000000000;001;210.0000000000;;
TJ-GV-800-4;1.0000000000;001;280.0000000000;;
TJ-PCI-2PS;1.0000000000;001;14.4000000000;;
TJ-PCI-422/485;2.0000000000;001;77.1400000000;;
TJ-PCI-4PS;2.0000000000;001;22.7934000000;;
TJ-PCI-8PS;1.0000000000;001;89.2300000000;;
TJ-PCIE-4USB;1.0000000000;001;12.2100000000;2025-03-03 00:00:00;
TJ-PCIE-7USB;0E-10;001;65.3300000000;2025-06-04 00:00:00;2025-06-05 00:00:00
TJ-PCIE-FWIRE3;1.0000000000;001;11.6600000000;;
TJ-PCIE-RD2/00;0E-10;001;27.5000000000;2025-03-03 00:00:00;
TJ-PCI-FWIRE-3;2.0000000000;001;13.4869000000;;
TJ-PCI-FWIRE-3B;4.0000000000;001;26.0000000000;;
TJ-SEN0010A;22.0000000000;001;54.3888000000;;
TM-2S8;911.0000000000;001;0.0344000000;;
TM-3S25;440.0000000000;001;0.0421000000;;
TNF-3;1000.0000000000;001;0.0330000000;;
TOOLING SR;1.0000000000;001;56.0000000000;2025-12-22 00:00:00;
TOR-COR-A-N;760.0000000000;001;0.0115000000;;
TOR-HD;3620.0000000000;001;0.0035000000;;
